都道府県,市区町村,人数
福岡県,220 宗像市,"5,287"
福岡県,221 太宰府市,"4,155"
福岡県,223 古賀市,"3,324"
福岡県,224 福津市,"2,971"
福岡県,225 うきは市,"1,655"
福岡県,226 宮若市,"1,532"
福岡県,227 嘉麻市,"1,973"
福岡県,228 朝倉市,"2,829"
福岡県,229 みやま市,"1,993"
福岡県,230 糸島市,"5,649"
福岡県,305 那珂川町,"3,377"
福岡県,341 宇美町,"2,299"
福岡県,342 篠栗町,"2,011"
福岡県,343 志免町,"2,981"
福岡県,344 須惠町,"1,684"
福岡県,345 新宮町,"2,052"
福岡県,348 久山町,547
福岡県,349 粕屋町,"2,953"
福岡県,381 芦屋町,869
福岡県,382 水巻町,"1,304"
福岡県,383 岡垣町,"1,881"
福岡県,384 遠賀町,940
福岡県,401 小竹町,352
福岡県,402 鞍手町,745
福岡県,421 桂川町,684
福岡県,447 筑前町,"1,597"
福岡県,448 東峰村,92
福岡県,503 大刀洗町,823
福岡県,522 大木町,907
福岡県,544 広川町,"1,159"
福岡県,601 香春町,550
福岡県,602 添田町,482
福岡県,604 糸田町,463
福岡県,605 川崎町,971
福岡県,608 大任町,284
福岡県,609 赤村,175
福岡県,610 福智町,"1,397"
福岡県,621 苅田町,"2,014"
福岡県,625 みやこ町,994
福岡県,642 吉富町,413
福岡県,646 上毛町,422
福岡県,647 築上町,960
佐賀県,201 佐賀市,"13,239"
佐賀県,202 唐津市,"7,343"
佐賀県,203 鳥栖市,"4,877"
佐賀県,204 多久市,"1,039"
佐賀県,205 伊万里市,"3,287"
佐賀県,206 武雄市,"2,885"
佐賀県,207 鹿島市,"1,750"
佐賀県,208 小城市,"2,753"
佐賀県,209 嬉野市,"1,459"
佐賀県,210 神埼市,"1,880"
佐賀県,327 吉野ヶ里町,"1,043"
佐賀県,341 基山町,892
佐賀県,345 上峰町,593
佐賀県,346 みやき町,"1,252"
佐賀県,387 玄海町,382
佐賀県,401 有田町,"1,203"
佐賀県,423 大町町,324
佐賀県,424 江北町,510
佐賀県,425 白石町,"1,281"
佐賀県,441 太良町,521
長崎県,201 長崎市,"21,949"
長崎県,202 佐世保市,"13,969"
長崎県,203 島原市,"2,453"
長崎県,204 諫早市,"7,924"
長崎県,205 大村市,"6,175"
長崎県,207 平戸市,"1,655"
長崎県,208 松浦市,"1,268"
長崎県,209 対馬市,"1,797"
長崎県,210 壱岐市,"1,619"
長崎県,211 五島市,"1,857"
長崎県,212 西海市,"1,388"
長崎県,213 雲仙市,"2,420"
長崎県,214 南島原市,"2,431"
長崎県,307 長与町,"2,540"
長崎県,308 時津町,"1,819"
長崎県,321 東彼杵町,425
長崎県,322 川棚町,884
長崎県,323 波佐見町,867
長崎県,383 小値賀町,88
長崎県,391 佐々町,862
長崎県,411 新上五島町,"1,014"
熊本県,101 熊本市中央区,"9,377"
熊本県,102 熊本市東区,"11,717"
熊本県,103 熊本市西区,"4,470"
熊本県,104 熊本市南区,"7,735"
熊本県,105 熊本市北区,"8,319"
熊本県,202 八代市,"6,579"
熊本県,203 人吉市,"1,802"
熊本県,204 荒尾市,"2,851"
熊本県,205 水俣市,"1,280"
熊本県,206 玉名市,"3,570"
熊本県,208 山鹿市,"2,701"
熊本県,210 菊池市,"2,668"
熊本県,211 宇土市,"2,162"
熊本県,212 上天草市,"1,358"
熊本県,213 宇城市,"3,201"
熊本県,214 阿蘇市,"1,394"
熊本県,215 天草市,"4,319"
熊本県,216 合志市,"4,105"
熊本県,348 美里町,444
熊本県,364 玉東町,318
熊本県,367 南関町,437
熊本県,368 長洲町,820
熊本県,369 和水町,441
熊本県,403 大津町,"2,090"
熊本県,404 菊陽町,"2,807"
熊本県,423 南小国町,192
熊本県,424 小国町,367
熊本県,425 産山村,79
熊本県,428 高森町,303
熊本県,432 西原村,438
熊本県,433 南阿蘇村,570
熊本県,441 御船町,857
熊本県,442 嘉島町,498
熊本県,443 益城町,"1,985"
熊本県,444 甲佐町,524
熊本県,447 山都町,605
熊本県,468 氷川町,611
熊本県,482 芦北町,780
熊本県,484 津奈木町,239
熊本県,501 錦町,723
熊本県,505 多良木町,519
熊本県,506 湯前町,189
熊本県,507 水上村,127
熊本県,510 相良村,256
熊本県,511 五木村,32
熊本県,512 山江村,259
熊本県,513 球磨村,205
熊本県,514 あさぎり町,955
熊本県,531 苓北町,387
大分県,201 大分市,"27,232"
大分県,202 別府市,"5,654"
大分県,203 中津市,"4,725"
大分県,204 日田市,"3,710"
大分県,205 佐伯市,"3,552"
大分県,206 臼杵市,"1,925"
大分県,207 津久見市,805
大分県,208 竹田市,874
大分県,209 豊後高田市,"1,023"
大分県,210 杵築市,"1,407"
大分県,211 宇佐市,"2,926"
大分県,212 豊後大野市,"1,674"
大分県,213 由布市,"1,774"
大分県,214 国東市,"1,257"
大分県,322 姫島村,74
大分県,341 日出町,"1,718"
大分県,461 九重町,418
大分県,462 玖珠町,786
宮崎県,201 宮崎市,"23,149"
宮崎県,202 都城市,"9,452"
宮崎県,203 延岡市,"7,066"
宮崎県,204 日南市,"2,665"
宮崎県,205 小林市,"2,551"
宮崎県,206 日向市,"3,623"
宮崎県,207 串間市,931
宮崎県,208 西都市,"1,751"
宮崎県,209 えびの市,952
宮崎県,341 三股町,"1,612"
宮崎県,361 高原町,448
宮崎県,382 国富町,999
宮崎県,383 綾町,386
宮崎県,401 高鍋町,"1,127"
宮崎県,402 新富町,"1,021"
宮崎県,403 西米良村,53
宮崎県,404 木城町,266
宮崎県,405 川南町,990
宮崎県,406 都農町,568
宮崎県,421 門川町,"1,062"
宮崎県,429 諸塚村,99
宮崎県,430 椎葉村,154
宮崎県,431 美郷町,206
宮崎県,441 高千穂町,666
宮崎県,442 日之影町,197
宮崎県,443 五ヶ瀬町,198
鹿児島県,201 鹿児島市,"33,905"
鹿児島県,203 鹿屋市,"6,396"
鹿児島県,204 枕崎市,"1,075"
鹿児島県,206 阿久根市,"1,018"
鹿児島県,208 出水市,"3,171"
鹿児島県,210 指宿市,"2,117"
鹿児島県,213 西之表市,946
鹿児島県,214 垂水市,627
鹿児島県,215 薩摩川内市,"5,622"
鹿児島県,216 日置市,"2,570"
鹿児島県,217 曽於市,"1,682"
鹿児島県,218 霧島市,"7,514"
鹿児島県,219 いちき串木野市,"1,594"
鹿児島県,220 南さつま市,"1,617"
鹿児島県,221 志布志市,"1,746"
鹿児島県,222 奄美市,"2,741"
鹿児島県,223 南九州市,"1,846"
鹿児島県,224 伊佐市,"1,280"
鹿児島県,225 姶良市,"4,303"
鹿児島県,303 三島村,27
鹿児島県,304 十島村,49
鹿児島県,392 さつま町,"1,114"
鹿児島県,404 長島町,608
鹿児島県,452 湧水町,506
鹿児島県,468 大崎町,621
鹿児島県,482 東串良町,342
鹿児島県,490 錦江町,362
鹿児島県,491 南大隅町,331
鹿児島県,492 肝付町,725
鹿児島県,501 中種子町,469
鹿児島県,502 南種子町,346
鹿児島県,505 屋久島町,824
鹿児島県,523 大和村,81
鹿児島県,524 宇検村,88
鹿児島県,525 瀬戸内町,433
鹿児島県,527 龍郷町,370
鹿児島県,529 喜界町,412
鹿児島県,530 徳之島町,769
鹿児島県,531 天城町,418
鹿児島県,532 伊仙町,386
鹿児島県,533 和泊町,455
鹿児島県,534 知名町,388
鹿児島県,535 与論町,324
沖縄県,201 那覇市,"20,270"
沖縄県,205 宜野湾市,"6,675"
沖縄県,207 石垣市,"3,314"
沖縄県,208 浦添市,"8,216"
沖縄県,209 名護市,"4,101"
沖縄県,210 糸満市,"4,289"
沖縄県,211 沖縄市,"9,939"
沖縄県,212 豊見城市,"4,586"
沖縄県,213 うるま市,"8,836"
沖縄県,214 宮古島市,"3,409"
沖縄県,215 南城市,"2,743"
沖縄県,301 国頭村,299
沖縄県,302 大宜味村,147
沖縄県,303 東村,110
沖縄県,306 今帰仁村,603
沖縄県,308 本部町,746
沖縄県,311 恩納村,623
沖縄県,313 宜野座村,426
沖縄県,314 金武町,767
沖縄県,315 伊江村,253
沖縄県,324 読谷村,"2,951"
沖縄県,325 嘉手納町,924
沖縄県,326 北谷町,"2,107"
沖縄県,327 北中城村,"1,184"
沖縄県,328 中城村,"1,048"
沖縄県,329 西原町,"3,012"
沖縄県,348 与那原町,"1,264"
沖縄県,350 南風原町,"2,731"
沖縄県,353 渡嘉敷村,35
沖縄県,354 座間味村,56
沖縄県,355 粟国村,43
沖縄県,356 渡名喜村,14
沖縄県,357 南大東村,82
沖縄県,358 北大東村,35
沖縄県,359 伊平屋村,113
沖縄県,360 伊是名村,84
沖縄県,361 久米島町,501
沖縄県,362 八重瀬町,"1,942"
沖縄県,375 多良間村,91
沖縄県,381 竹富町,239
沖縄県,382 与那国町,105
