都道府県,市区町村名,人数
宮城県,名取市,4688
宮城県,角田市,998
宮城県,多賀城市,3326
宮城県,岩沼市,2302
宮城県,登米市,3241
宮城県,栗原市,2135
宮城県,東松島市,1927
宮城県,大崎市,5689
宮城県,富谷市,3240
宮城県,蔵王町,463
宮城県,七ヶ宿町,45
宮城県,大河原町,1235
宮城県,村田町,400
宮城県,柴田町,1672
宮城県,川崎町,274
宮城県,丸森町,447
宮城県,亘理町,1518
宮城県,山元町,474
宮城県,松島町,497
宮城県,七ヶ浜町,754
宮城県,利府町,2051
宮城県,大和町,1605
宮城県,大郷町,348
宮城県,大衡村,386
宮城県,色麻町,－
宮城県,加美町,887
宮城県,涌谷町,553
宮城県,美里町,1068
宮城県,女川町,210
宮城県,南三陸町,439
秋田県,秋田市,12982
秋田県,能代市,1532
秋田県,横手市,3180
秋田県,大館市,2384
秋田県,男鹿市,641
秋田県,湯沢市,1341
秋田県,鹿角市,1020
秋田県,由利本荘市,2767
秋田県,潟上市,1383
秋田県,大仙市,2934
秋田県,北秋田市,847
秋田県,にかほ市,824
秋田県,仙北市,767
秋田県,小坂町,131
秋田県,上小阿仁村,44
秋田県,藤里町,－
秋田県,三種町,418
秋田県,八峰町,141
秋田県,五城目町,233
秋田県,八郎潟町,154
秋田県,井川町,－
秋田県,大潟村,129
秋田県,美郷町,702
秋田県,羽後町,493
秋田県,東成瀬村,69
山形県,山形市,11527
山形県,米沢市,3217
山形県,鶴岡市,5090
山形県,酒田市,3914
山形県,新庄市,867
山形県,寒河江市,1998
山形県,上山市,1024
山形県,村山市,811
山形県,長井市,1082
山形県,天童市,3199
山形県,東根市,2655
山形県,尾花沢市,548
山形県,南陽市,1306
山形県,山辺町,651
山形県,中山町,466
山形県,河北町,763
山形県,西川町,147
山形県,朝日町,189
山形県,大江町,313
山形県,大石田町,233
山形県,金山町,201
山形県,最上町,315
山形県,舟形町,178
山形県,真室川町,270
山形県,大蔵村,122
山形県,鮭川村,161
山形県,戸沢村,－
山形県,高畠町,1036
山形県,川西町,561
山形県,小国町,252
山形県,白鷹町,502
山形県,飯豊町,298
山形県,三川町,421
山形県,庄内町,838
山形県,遊佐町,452
福島県,福島市,12612
福島県,会津若松市,4934
福島県,郡山市,15770
福島県,いわき市,15287
福島県,白河市,2745
福島県,須賀川市,3614
福島県,喜多方市,2053
福島県,相馬市,1730
福島県,二本松市,2243
福島県,田村市,1417
福島県,南相馬市,2102
福島県,伊達市,2446
福島県,本宮市,1596
福島県,桑折町,484
福島県,国見町,276
福島県,川俣町,328
福島県,大玉村,582
福島県,鏡石町,704
福島県,天栄村,192
福島県,下郷町,156
福島県,檜枝岐村,31
福島県,只見町,125
福島県,南会津町,469
福島県,北塩原村,73
福島県,西会津町,191
福島県,磐梯町,165
福島県,猪苗代町,538
福島県,会津坂下町,613
福島県,湯川村,149
福島県,柳津町,124
福島県,三島町,43
福島県,金山町,34
福島県,昭和村,26
福島県,会津美里町,583
福島県,西郷村,1119
福島県,泉崎村,325
福島県,中島村,251
福島県,矢吹町,857
福島県,棚倉町,625
福島県,矢祭町,249
福島県,塙町,339
福島県,鮫川村,104
福島県,石川町,499
福島県,玉川村,285
福島県,平田村,228
福島県,浅川町,256
福島県,古殿町,148
福島県,三春町,796
福島県,小野町,363
福島県,広野町,141
福島県,楢葉町,153
福島県,富岡町,61
福島県,川内村,－
福島県,大熊町,－
福島県,双葉町,21
福島県,浪江町,48
福島県,葛尾村,16
福島県,新地町,397
福島県,飯舘村,－
茨城県,水戸市,13697
茨城県,日立市,6393
茨城県,土浦市,5754
茨城県,古河市,6457
茨城県,石岡市,2966
茨城県,結城市,2385
茨城県,龍ケ崎市,3221
茨城県,下妻市,1962
茨城県,常総市,2614
茨城県,常陸太田市,1724
茨城県,高萩市,1046
茨城県,北茨城市,1659
茨城県,笠間市,3178
茨城県,取手市,4762
茨城県,牛久市,3965
茨城県,つくば市,12251
茨城県,ひたちなか市,7176
茨城県,鹿嶋市,3190
茨城県,潮来市,1156
茨城県,守谷市,4407
茨城県,常陸大宮市,1485
茨城県,那珂市,2521
茨城県,筑西市,3747
茨城県,坂東市,2260
茨城県,稲敷市,1237
茨城県,かすみがうら市,1430
茨城県,桜川市,1125
茨城県,神栖市,4617
茨城県,行方市,1255
茨城県,鉾田市,1835
茨城県,つくばみらい市,4185
茨城県,小美玉市,1518
茨城県,茨城町,1277
茨城県,大洗町,574
茨城県,城里町,612
茨城県,東海村,2119
茨城県,大子町,384
茨城県,美浦村,512
茨城県,阿見町,2583
茨城県,河内町,－
茨城県,八千代町,912
茨城県,五霞町,292
茨城県,境町,1232
茨城県,利根町,413
栃木県,宇都宮市,26608
栃木県,足利市,5723
栃木県,栃木市,6907
栃木県,佐野市,4349
栃木県,鹿沼市,4300
栃木県,日光市,2822
栃木県,小山市,8112
栃木県,真岡市,4021
栃木県,大田原市,3255
栃木県,矢板市,1249
栃木県,那須塩原市,5624
栃木県,さくら市,2446
栃木県,那須烏山市,904
栃木県,下野市,2410
栃木県,上三川町,1577
栃木県,益子町,987
栃木県,茂木町,368
栃木県,市貝町,479
栃木県,芳賀町,808
栃木県,壬生町,1847
栃木県,野木町,1180
栃木県,塩谷町,319
栃木県,高根沢町,1311
栃木県,那須町,840
栃木県,那珂川町,457
群馬県,前橋市,15795
群馬県,高崎市,17909
群馬県,桐生市,3638
群馬県,伊勢崎市,10402
群馬県,太田市,11375
群馬県,沼田市,1787
群馬県,館林市,3205
群馬県,渋川市,2873
群馬県,藤岡市,2489
群馬県,富岡市,1942
群馬県,安中市,2069
群馬県,みどり市,2299
群馬県,榛東村,803
群馬県,吉岡町,1428
群馬県,上野村,57
群馬県,神流町,20
群馬県,下仁田町,122
群馬県,南牧村,－
群馬県,甘楽町,525
群馬県,中之条町,481
群馬県,長野原町,152
群馬県,嬬恋村,323
群馬県,草津町,174
群馬県,高山村,121
群馬県,東吾妻町,397
群馬県,片品村,103
群馬県,川場村,141
群馬県,昭和村,305
群馬県,みなかみ町,595
群馬県,玉村町,1739
群馬県,板倉町,493
群馬県,明和町,485
群馬県,千代田町,490
群馬県,大泉町,1929
群馬県,邑楽町,1090
埼玉県,さいたま市西区,4854
埼玉県,さいたま市北区,7755
埼玉県,さいたま市大宮区,6709
埼玉県,さいたま市見沼区,7259
埼玉県,さいたま市中央区,4879
埼玉県,さいたま市桜区,3996
埼玉県,さいたま市浦和区,10923
埼玉県,さいたま市南区,10158
埼玉県,さいたま市緑区,9330
埼玉県,さいたま市岩槻区,4970
埼玉県,川越市,17320
埼玉県,熊谷市,8536
埼玉県,川口市,28661
埼玉県,行田市,3218
埼玉県,秩父市,2546
埼玉県,所沢市,15880
埼玉県,飯能市,3450
埼玉県,加須市,4906
埼玉県,本庄市,3548
埼玉県,東松山市,4382
埼玉県,春日部市,9411
埼玉県,狭山市,6420
埼玉県,羽生市,2297
埼玉県,鴻巣市,5340
埼玉県,深谷市,6592
埼玉県,上尾市,10786
埼玉県,草加市,11269
埼玉県,越谷市,17236
埼玉県,蕨市,3215
埼玉県,戸田市,7888
埼玉県,入間市,6456
埼玉県,朝霞市,7712
埼玉県,志木市,4147
埼玉県,和光市,4350
埼玉県,新座市,8459
埼玉県,桶川市,3430
埼玉県,久喜市,6655
埼玉県,北本市,2560
埼玉県,八潮市,4223
埼玉県,富士見市,5648
埼玉県,三郷市,7447
埼玉県,蓮田市,2673
埼玉県,坂戸市,4470
埼玉県,幸手市,1890
埼玉県,鶴ヶ島市,2968
埼玉県,日高市,1962
埼玉県,吉川市,4015
埼玉県,ふじみ野市,5972
埼玉県,白岡市,2676
埼玉県,伊奈町,2307
埼玉県,三芳町,1792
埼玉県,毛呂山町,1081
埼玉県,越生町,353
埼玉県,滑川町,1276
埼玉県,嵐山町,683
埼玉県,小川町,855
埼玉県,川島町,672
埼玉県,吉見町,599
埼玉県,鳩山町,405
埼玉県,ときがわ町,360
埼玉県,横瀬町,307
埼玉県,皆野町,344
埼玉県,長瀞町,247
埼玉県,小鹿野町,324
埼玉県,東秩父村,59
埼玉県,美里町,474
埼玉県,神川町,522
埼玉県,上里町,1348
埼玉県,寄居町,1237
埼玉県,宮代町,1578
埼玉県,杉戸町,1798
埼玉県,松伏町,1200
千葉県,千葉市中央区,8633
