市区町村名,人数
岩手県岩泉町,298.0
岩手県田野畑村,126.0
岩手県普代村,78.0
岩手県軽米町,285.0
岩手県野田村,184.0
岩手県九戸村,211.0
岩手県洋野町,570.0
岩手県一戸町,377.0
宮城県仙台市青葉区,14149.0
宮城県仙台市宮城野区,9059.0
宮城県仙台市若林区,7273.0
宮城県仙台市太白区,11963.0
宮城県仙台市泉区,10438.0
宮城県石巻市,5911.0
宮城県塩竈市,2301.0
宮城県気仙沼市,2149.0
宮城県白石市,1279.0
宮城県名取市,4801.0
宮城県角田市,1064.0
宮城県多賀城市,3405.0
宮城県岩沼市,2331.0
宮城県登米市,3324.0
宮城県栗原市,2245.0
宮城県東松島市,1944.0
宮城県大崎市,5893.0
宮城県富谷市,3366.0
宮城県蔵王町,489.0
宮城県七ヶ宿町,40.0
宮城県大河原町,1252.0
宮城県村田町,442.0
宮城県柴田町,1717.0
宮城県川崎町,286.0
宮城県丸森町,469.0
宮城県亘理町,1559.0
宮城県山元町,481.0
宮城県松島町,496.0
宮城県七ヶ浜町,769.0
宮城県利府町,2063.0
宮城県大和町,1684.0
宮城県大郷町,366.0
宮城県大衡村,391.0
宮城県色麻町,
宮城県加美町,904.0
宮城県涌谷町,584.0
宮城県美里町,1101.0
宮城県女川町,214.0
宮城県南三陸町,435.0
秋田県秋田市,13309.0
秋田県能代市,1593.0
秋田県横手市,3368.0
秋田県大館市,2513.0
秋田県男鹿市,677.0
秋田県湯沢市,1401.0
秋田県鹿角市,1095.0
秋田県由利本荘市,2885.0
秋田県潟上市,1416.0
秋田県大仙市,2963.0
秋田県北秋田市,916.0
秋田県にかほ市,894.0
秋田県仙北市,843.0
秋田県小坂町,138.0
秋田県上小阿仁村,41.0
秋田県藤里町,
秋田県三種町,449.0
秋田県八峰町,148.0
秋田県五城目町,250.0
秋田県八郎潟町,164.0
秋田県井川町,
秋田県大潟村,135.0
秋田県美郷町,702.0
秋田県羽後町,506.0
秋田県東成瀬村,72.0
山形県山形市,11859.0
山形県米沢市,3352.0
山形県鶴岡市,5333.0
山形県酒田市,3993.0
山形県新庄市,883.0
山形県寒河江市,2038.0
山形県上山市,1058.0
山形県村山市,840.0
山形県長井市,1114.0
山形県天童市,3127.0
山形県東根市,2640.0
山形県尾花沢市,581.0
山形県南陽市,1357.0
山形県山辺町,661.0
山形県中山町,482.0
山形県河北町,780.0
山形県西川町,147.0
山形県朝日町,206.0
山形県大江町,322.0
山形県大石田町,243.0
山形県金山町,210.0
山形県最上町,343.0
山形県舟形町,193.0
山形県真室川町,292.0
山形県大蔵村,148.0
山形県鮭川村,165.0
山形県戸沢村,
山形県高畠町,1098.0
山形県川西町,573.0
山形県小国町,280.0
山形県白鷹町,538.0
山形県飯豊町,309.0
山形県三川町,403.0
山形県庄内町,847.0
山形県遊佐町,452.0
福島県福島市,12714.0
福島県会津若松市,5123.0
福島県郡山市,15939.0
福島県いわき市,15478.0
福島県白河市,2856.0
福島県須賀川市,3658.0
福島県喜多方市,2090.0
福島県相馬市,1775.0
福島県二本松市,2332.0
福島県田村市,1439.0
福島県南相馬市,2110.0
福島県伊達市,2487.0
福島県本宮市,1636.0
福島県桑折町,490.0
福島県国見町,271.0
福島県川俣町,329.0
福島県大玉村,558.0
福島県鏡石町,707.0
福島県天栄村,208.0
福島県下郷町,159.0
福島県檜枝岐村,27.0
福島県只見町,125.0
福島県南会津町,505.0
福島県北塩原村,82.0
福島県西会津町,196.0
福島県磐梯町,172.0
福島県猪苗代町,567.0
福島県会津坂下町,633.0
福島県湯川村,160.0
福島県柳津町,128.0
福島県三島町,38.0
福島県金山町,26.0
福島県昭和村,26.0
福島県会津美里町,812.0
福島県西郷村,1114.0
福島県泉崎村,339.0
福島県中島村,263.0
福島県矢吹町,865.0
福島県棚倉町,643.0
福島県矢祭町,265.0
福島県塙町,350.0
福島県鮫川村,109.0
福島県石川町,540.0
福島県玉川村,298.0
福島県平田村,254.0
福島県浅川町,270.0
福島県古殿町,167.0
福島県三春町,827.0
福島県小野町,389.0
福島県広野町,145.0
福島県楢葉町,132.0
福島県富岡町,46.0
福島県川内村,
福島県大熊町,
福島県双葉町,24.0
福島県浪江町,38.0
福島県葛尾村,12.0
福島県新地町,394.0
福島県飯舘村,
茨城県水戸市,13800.0
茨城県日立市,6726.0
茨城県土浦市,5910.0
茨城県古河市,6544.0
茨城県石岡市,3030.0
茨城県結城市,2421.0
茨城県龍ケ崎市,3279.0
茨城県下妻市,1970.0
茨城県常総市,2736.0
茨城県常陸太田市,1712.0
茨城県高萩市,1090.0
茨城県北茨城市,1718.0
茨城県笠間市,3270.0
茨城県取手市,4829.0
茨城県牛久市,4059.0
茨城県つくば市,11363.0
茨城県ひたちなか市,7368.0
茨城県鹿嶋市,3278.0
茨城県潮来市,1186.0
茨城県守谷市,4416.0
茨城県常陸大宮市,1555.0
茨城県那珂市,2542.0
茨城県筑西市,4487.0
茨城県坂東市,2347.0
茨城県稲敷市,1309.0
茨城県かすみがうら市,1497.0
茨城県桜川市,1214.0
茨城県神栖市,4796.0
茨城県行方市,1296.0
茨城県鉾田市,1881.0
茨城県つくばみらい市,4199.0
茨城県小美玉市,1569.0
茨城県茨城町,1285.0
茨城県大洗町,596.0
茨城県城里町,621.0
茨城県東海村,2184.0
茨城県大子町,430.0
茨城県美浦村,556.0
茨城県阿見町,2553.0
茨城県河内町,
茨城県八千代町,948.0
茨城県五霞町,309.0
茨城県境町,1247.0
茨城県利根町,444.0
栃木県宇都宮市,27122.0
栃木県足利市,5900.0
栃木県栃木市,7080.0
栃木県佐野市,4426.0
栃木県鹿沼市,4346.0
栃木県日光市,2931.0
栃木県小山市,8227.0
栃木県真岡市,4192.0
栃木県大田原市,3311.0
栃木県矢板市,1297.0
栃木県那須塩原市,5735.0
栃木県さくら市,2461.0
栃木県那須烏山市,904.0
栃木県下野市,2513.0
栃木県上三川町,1592.0
栃木県益子町,1024.0
栃木県茂木町,389.0
栃木県市貝町,506.0
栃木県芳賀町,822.0
栃木県壬生町,1903.0
栃木県野木町,1224.0
栃木県塩谷町,344.0
栃木県高根沢町,1351.0
栃木県那須町,875.0
栃木県那珂川町,494.0
群馬県前橋市,16089.0
群馬県高崎市,18181.0
群馬県桐生市,3844.0
群馬県伊勢崎市,10635.0
群馬県太田市,11506.0
群馬県沼田市,1862.0
群馬県館林市,3339.0
群馬県渋川市,3023.0
群馬県藤岡市,2623.0
群馬県富岡市,2007.0
群馬県安中市,2163.0
群馬県みどり市,2323.0
群馬県榛東村,762.0
群馬県吉岡町,1448.0
群馬県上野村,59.0
群馬県神流町,24.0
群馬県下仁田町,131.0
群馬県南牧村,9.0
群馬県甘楽町,529.0
群馬県中之条町,505.0
群馬県長野原町,165.0
群馬県嬬恋村,339.0
群馬県草津町,174.0
群馬県高山村,130.0
群馬県東吾妻町,422.0
群馬県片品村,118.0
群馬県川場村,160.0
群馬県昭和村,327.0
群馬県みなかみ町,592.0
群馬県玉村町,1762.0
群馬県板倉町,542.0
群馬県明和町,504.0
群馬県千代田町,505.0
群馬県大泉町,1968.0
群馬県邑楽町,1120.0
埼玉県さいたま市西区,4756.0
埼玉県さいたま市北区,7894.0
埼玉県さいたま市大宮区,6694.0
埼玉県さいたま市見沼区,7396.0
埼玉県さいたま市中央区,4917.0
埼玉県さいたま市桜区,4121.0
埼玉県さいたま市浦和区,10853.0
埼玉県さいたま市南区,10145.0
埼玉県さいたま市緑区,9121.0
埼玉県さいたま市岩槻区,5012.0
埼玉県川越市,17533.0
埼玉県熊谷市,8647.0
埼玉県川口市,28958.0
埼玉県行田市,3374.0
埼玉県秩父市,2622.0
埼玉県所沢市,15914.0
埼玉県飯能市,3425.0
埼玉県加須市,5020.0
埼玉県本庄市,3570.0
埼玉県東松山市,4380.0
埼玉県春日部市,9658.0
埼玉県狭山市,6493.0
埼玉県羽生市,2289.0
埼玉県鴻巣市,5373.0
埼玉県深谷市,6719.0
埼玉県上尾市,10888.0
埼玉県草加市,11441.0
埼玉県越谷市,17333.0
埼玉県蕨市,3204.0
埼玉県戸田市,8047.0
埼玉県入間市,6564.0
埼玉県朝霞市,7729.0
埼玉県志木市,4197.0
埼玉県和光市,4378.0
埼玉県新座市,8654.0
埼玉県桶川市,3533.0
埼玉県久喜市,6699.0
埼玉県北本市,2601.0
埼玉県八潮市,4208.0
埼玉県富士見市,5730.0
埼玉県三郷市,7398.0
埼玉県蓮田市,2639.0
埼玉県坂戸市,4711.0
埼玉県幸手市,1986.0
埼玉県鶴ヶ島市,3026.0
埼玉県日高市,2246.0
埼玉県吉川市,4114.0
埼玉県ふじみ野市,6084.0
埼玉県白岡市,2679.0
埼玉県伊奈町,2383.0
埼玉県三芳町,1877.0
埼玉県毛呂山町,1131.0
埼玉県越生町,371.0
埼玉県滑川町,1270.0
埼玉県嵐山町,692.0
埼玉県小川町,908.0
埼玉県川島町,689.0
埼玉県吉見町,626.0
埼玉県鳩山町,396.0
埼玉県ときがわ町,379.0
埼玉県横瀬町,325.0
埼玉県皆野町,371.0
埼玉県長瀞町,265.0
埼玉県小鹿野町,362.0
埼玉県東秩父村,60.0
埼玉県美里町,498.0
埼玉県神川町,536.0
埼玉県上里町,1382.0
埼玉県寄居町,1266.0
埼玉県宮代町,1583.0
埼玉県杉戸町,1860.0
埼玉県松伏町,1253.0
千葉県千葉市中央区,8781.0
千葉県千葉市花見川区,7523.0
千葉県千葉市稲毛区,8529.0
千葉県千葉市若葉区,5802.0
千葉県千葉市緑区,7384.0
千葉県千葉市美浜区,7778.0
千葉県銚子市,1713.0
千葉県市川市,23239.0
千葉県船橋市,33099.0
千葉県館山市,1695.0
千葉県木更津市,7371.0
千葉県松戸市,22785.0
千葉県野田市,6901.0
千葉県茂原市,3537.0
千葉県成田市,6228.0
千葉県佐倉市,7649.0
