都道府県,市区町村名,人数,団体コード
青森県,おいらせ町,1404,24121
青森県,大間町,175,24236
青森県,東通村,220,24244
青森県,風間浦村,43,24252
青森県,佐井村,34,24261
青森県,三戸町,292,24414
青森県,五戸町,558,24422
青森県,田子町,141,24431
青森県,南部町,596,24457
青森県,階上町,527,24465
青森県,新郷村,64,24503
岩手県,盛岡市,13551,32018
岩手県,宮古市,1825,32026
岩手県,大船渡市,1297,32034
岩手県,花巻市,4112,32051
岩手県,北上市,4484,32069
岩手県,久慈市,1324,32077
岩手県,遠野市,941,32085
岩手県,一関市,4321,32093
岩手県,陸前高田市,632,32107
岩手県,釜石市,1098,32115
岩手県,二戸市,957,32131
岩手県,八幡平市,848,32140
岩手県,奥州市,4881,32158
岩手県,滝沢市,3066,32166
岩手県,雫石町,642,33014
岩手県,葛巻町,144,33022
岩手県,岩手町,405,33031
岩手県,紫波町,1681,33219
岩手県,矢巾町,1383,33227
岩手県,西和賀町,127,33669
岩手県,金ケ崎町,714,33812
岩手県,平泉町,322,34029
岩手県,住田町,133,34410
岩手県,大槌町,77,34614
岩手県,山田町,557,34827
岩手県,岩泉町,282,34835
岩手県,田野畑村,115,34843
岩手県,普代村,73,34851
岩手県,軽米町,274,35017
岩手県,野田村,192,35033
岩手県,九戸村,195,35068
岩手県,洋野町,532,35076
岩手県,一戸町,361,35246
宮城県,仙台市青葉区,14166,41017
宮城県,仙台市宮城野区,8884,41025
宮城県,仙台市若林区,7208,41033
宮城県,仙台市太白区,11957,41041
宮城県,仙台市泉区,10050,41050
宮城県,石巻市,5718,42021
宮城県,塩竈市,2311,42030
宮城県,気仙沼市,2059,42056
宮城県,白石市,1237,42064
宮城県,名取市,4688,42072
宮城県,角田市,998,42081
宮城県,多賀城市,3326,42099
宮城県,岩沼市,2302,42111
宮城県,登米市,3241,42129
宮城県,栗原市,2135,42137
宮城県,東松島市,1927,42145
宮城県,大崎市,5689,42153
宮城県,富谷市,3240,42161
宮城県,蔵王町,463,43010
宮城県,七ヶ宿町,45,43028
宮城県,大河原町,1235,43214
宮城県,村田町,400,43222
宮城県,柴田町,1672,43231
宮城県,川崎町,274,43249
宮城県,丸森町,447,43419
宮城県,亘理町,1518,43613
宮城県,山元町,474,43621
宮城県,松島町,497,44016
宮城県,七ヶ浜町,754,44041
宮城県,利府町,2051,44067
宮城県,大和町,1605,44211
宮城県,大郷町,348,44229
宮城県,大衡村,386,44245
宮城県,色麻町,－,44440
宮城県,加美町,887,44458
宮城県,涌谷町,553,45012
宮城県,美里町,1068,45055
宮城県,女川町,210,45811
宮城県,南三陸町,439,46060
秋田県,秋田市,12982,52019
秋田県,能代市,1532,52027
秋田県,横手市,3180,52035
秋田県,大館市,2384,52043
秋田県,男鹿市,641,52060
秋田県,湯沢市,1341,52078
秋田県,鹿角市,1020,52094
秋田県,由利本荘市,2767,52108
秋田県,潟上市,1383,52116
秋田県,大仙市,2934,52124
秋田県,北秋田市,847,52132
秋田県,にかほ市,824,52141
秋田県,仙北市,767,52159
秋田県,小坂町,131,53031
秋田県,上小阿仁村,44,53279
秋田県,藤里町,－,53465
秋田県,三種町,418,53481
秋田県,八峰町,141,53490
秋田県,五城目町,233,53619
秋田県,八郎潟町,154,53635
秋田県,井川町,－,53660
秋田県,大潟村,129,53686
秋田県,美郷町,702,54348
秋田県,羽後町,493,54631
秋田県,東成瀬村,69,54640
山形県,山形市,11527,62014
山形県,米沢市,3217,62022
山形県,鶴岡市,5090,62031
山形県,酒田市,3914,62049
山形県,新庄市,867,62057
山形県,寒河江市,1998,62065
山形県,上山市,1024,62073
山形県,村山市,811,62081
山形県,長井市,1082,62090
山形県,天童市,3199,62103
山形県,東根市,2655,62111
山形県,尾花沢市,548,62120
山形県,南陽市,1306,62138
山形県,山辺町,651,63011
山形県,中山町,466,63029
山形県,河北町,763,63215
山形県,西川町,147,63223
山形県,朝日町,189,63231
山形県,大江町,313,63240
山形県,大石田町,233,63410
山形県,金山町,201,63614
山形県,最上町,315,63622
山形県,舟形町,178,63631
山形県,真室川町,270,63649
山形県,大蔵村,122,63657
山形県,鮭川村,161,63665
山形県,戸沢村,－,63673
山形県,高畠町,1036,63819
山形県,川西町,561,63827
山形県,小国町,252,64017
山形県,白鷹町,502,64025
山形県,飯豊町,298,64033
山形県,三川町,421,64262
山形県,庄内町,838,64289
山形県,遊佐町,452,64611
福島県,福島市,12612,72010
福島県,会津若松市,4934,72028
福島県,郡山市,15770,72036
福島県,いわき市,15287,72044
福島県,白河市,2745,72052
福島県,須賀川市,3614,72079
福島県,喜多方市,2053,72087
福島県,相馬市,1730,72095
福島県,二本松市,2243,72109
福島県,田村市,1417,72117
福島県,南相馬市,2102,72125
福島県,伊達市,2446,72133
福島県,本宮市,1596,72141
福島県,桑折町,484,73016
福島県,国見町,276,73032
福島県,川俣町,328,73083
福島県,大玉村,582,73229
福島県,鏡石町,704,73423
福島県,天栄村,192,73440
福島県,下郷町,156,73628
福島県,檜枝岐村,31,73644
福島県,只見町,125,73679
福島県,南会津町,469,73687
福島県,北塩原村,73,74021
福島県,西会津町,191,74055
福島県,磐梯町,165,74071
福島県,猪苗代町,538,74080
福島県,会津坂下町,613,74217
福島県,湯川村,149,74225
福島県,柳津町,124,74233
福島県,三島町,43,74446
福島県,金山町,34,74454
福島県,昭和村,26,74462
福島県,会津美里町,583,74471
福島県,西郷村,1119,74616
福島県,泉崎村,325,74641
福島県,中島村,251,74659
福島県,矢吹町,857,74667
福島県,棚倉町,625,74811
福島県,矢祭町,249,74829
福島県,塙町,339,74837
福島県,鮫川村,104,74845
福島県,石川町,499,75019
福島県,玉川村,285,75027
福島県,平田村,228,75035
福島県,浅川町,256,75043
福島県,古殿町,148,75051
福島県,三春町,796,75213
福島県,小野町,363,75221
福島県,広野町,141,75418
福島県,楢葉町,153,75426
福島県,富岡町,61,75434
福島県,川内村,－,75442
福島県,大熊町,－,75451
福島県,双葉町,21,75469
福島県,浪江町,48,75477
福島県,葛尾村,16,75485
福島県,新地町,397,75612
福島県,飯舘村,－,75647
茨城県,水戸市,13697,82015
茨城県,日立市,6393,82023
茨城県,土浦市,5754,82031
茨城県,古河市,6457,82040
茨城県,石岡市,2966,82058
茨城県,結城市,2385,82074
茨城県,龍ケ崎市,3221,82082
茨城県,下妻市,1962,82104
茨城県,常総市,2614,82112
茨城県,常陸太田市,1724,82121
茨城県,高萩市,1046,82147
茨城県,北茨城市,1659,82155
茨城県,笠間市,3178,82163
茨城県,取手市,4762,82171
茨城県,牛久市,3965,82198
茨城県,つくば市,12251,82201
茨城県,ひたちなか市,7176,82210
茨城県,鹿嶋市,3190,82228
茨城県,潮来市,1156,82236
茨城県,守谷市,4407,82244
茨城県,常陸大宮市,1485,82252
茨城県,那珂市,2521,82261
茨城県,筑西市,3747,82279
茨城県,坂東市,2260,82287
茨城県,稲敷市,1237,82295
茨城県,かすみがうら市,1430,82309
茨城県,桜川市,1125,82317
茨城県,神栖市,4617,82325
茨城県,行方市,1255,82333
茨城県,鉾田市,1835,82341
茨城県,つくばみらい市,4185,82350
茨城県,小美玉市,1518,82368
茨城県,茨城町,1277,83020
茨城県,大洗町,574,83097
茨城県,城里町,612,83101
茨城県,東海村,2119,83411
茨城県,大子町,384,83640
茨城県,美浦村,512,84425
茨城県,阿見町,2583,84433
茨城県,河内町,－,84476
茨城県,八千代町,912,85219
茨城県,五霞町,292,85421
茨城県,境町,1232,85464
茨城県,利根町,413,85642
栃木県,宇都宮市,26608,92011
栃木県,足利市,5723,92029
